,Year,Statistic,Name,Team,Value
1079,1985,Hits,Wade Boggs,Boston,240
1080,1985,Home Runs,Darrell Evans,Detroit,40
1081,1985,On Base Percentage,Wade Boggs,Boston,.452
1082,1985,RBI,Don Mattingly,New York,145
1083,1985,Runs,Rickey Henderson,New York,146
1084,1985,Slugging Average,George Brett,Kansas City,.585
1085,1985,Stolen Bases,Rickey Henderson,New York,80
1086,1985,Total Bases,Don Mattingly,New York,370
1087,1985,Triples,Willie Wilson,Kansas City,21
1088,1986,Base on Balls,Wade Boggs,Boston,106
1089,1986,Batting Average,Wade Boggs,Boston,.357
1090,1986,Doubles,Don Mattingly,New York,53
1091,1986,Hits,Don Mattingly,New York,238
