,Year,Statistic,Name,Team,Value
568,1963,Shutouts,Ray Herbert,Chicago,7
569,1963,Strikeouts,Camilo Pascual,Minnesota,202
570,1963,Winning Percentage,Whitey Ford,New York,.774
571,1963,Wins,Whitey Ford,New York,24
572,1964,Complete Games,Dean Chance,Los Angeles,19
573,1964,ERA,Dean Chance,Los Angeles,1.65
574,1964,Games,John Wyatt,Kansas City,81
575,1964,Saves,Dick Radatz,Boston,29
576,1964,Shutouts,Dean Chance,Los Angeles,11
577,1964,Strikeouts,Al Downing,New York,217
578,1964,Winning Percentage,Wally Bunker,Baltimore,.792
579,1964,Wins,Dean Chance,Los Angeles,20
580,1964,Wins,Gary Peters,Chicago,20
581,1965,Complete Games,Mel Stottlemyre,New York,18
582,1965,ERA,Sam McDowell,Cleveland,2.18
583,1965,Games,Eddie Fisher,Chicago,82
584,1965,Saves,Ron Kline,Washington,29
585,1965,Shutouts,Mudcat Grant,Minnesota,6
586,1965,Strikeouts,Sam McDowell,Cleveland,325
587,1965,Winning Percentage,Mudcat Grant,Minnesota,.750
588,1965,Wins,Mudcat Grant,Minnesota,21
589,1966,Complete Games,Jim Kaat,Minnesota,19
590,1966,ERA,Gary Peters,Chicago,1.98
591,1966,Games,Eddie Fisher,Baltimore,67
592,1966,Games,Eddie Fisher,Chicago,67
593,1966,Saves,Jack Aker,Kansas City,32
594,1966,Shutouts,Tommy John,Chicago,5
595,1966,Shutouts,Sam McDowell,Cleveland,5
596,1966,Shutouts,Luis Tiant,Cleveland,5
597,1966,Strikeouts,Sam McDowell,Cleveland,225
598,1966,Winning Percentage,Sonny Siebert,Cleveland,.667
599,1966,Wins,Jim Kaat,Minnesota,25
600,1967,Complete Games,Dean Chance,Minnesota,18
601,1967,ERA,Joe Horlen,Chicago,2.06
602,1967,Games,Bob Locker,Chicago,77
603,1967,Saves,Minnie Rojas,California,27
604,1967,Shutouts,Steve Hargan,Cleveland,6
605,1967,Shutouts,Joe Horlen,Chicago,6
606,1967,Shutouts,Tommy John,Chicago,6
607,1967,Shutouts,Mickey Lolich,Detroit,6
608,1967,Shutouts,Jim McGlothin,California,6
609,1967,Strikeouts,Jim Lonborg,Boston,246
610,1967,Winning Percentage,Joe Horlen,Chicago,.731
611,1967,Wins,Jim Lonborg,Boston,22
612,1967,Wins,Earl Wilson,Detroit,22
613,1968,Complete Games,Denny McLain,Detroit,28
614,1968,ERA,Luis Tiant,Cleveland,1.60
615,1968,Games,Wilbur Wood,Chicago,88
616,1968,Saves,Al Worthington,Minnesota,18
617,1968,Shutouts,Luis Tiant,Cleveland,9
618,1968,Strikeouts,Sam McDowell,Cleveland,283
619,1968,Winning Percentage,Denny McLain,Detroit,.838
620,1968,Wins,Denny McLain,Detroit,31
621,1969,Complete Games,Mel Stottlemyre,New York,24
622,1969,ERA,Dick Bosman,Washington,2.19
623,1969,Games,Wilbur Wood,Chicago,76
624,1969,Saves,Ron Perranoski,Minnesota,31
625,1969,Shutouts,Denny McLain,Detroit,9
626,1969,Strikeouts,Sam McDowell,Cleveland,279
627,1969,Winning Percentage,Jim Palmer,Baltimore,.800
628,1969,Wins,Denny McLain,Detroit,24
629,1971,Complete Games,Mickey Lolich,Detroit,29
630,1971,ERA,Vida Blue,Oakland,1.82
631,1971,Games,Ken Sanders,Milwaukee,83
632,1971,Saves,Ken Sanders,Milwaukee,31
633,1971,Shutouts,Vida Blue,Oakland,8
634,1971,Strikeouts,Mickey Lolich,Detroit,308
635,1971,Winning Percentage,Dave McNally,Baltimore,.808
636,1971,Wins,Mickey Lolich,Detroit,25
637,1972,Complete Games,Gaylord Perry,Cleveland,29
638,1972,ERA,Luis Tiant,Boston,1.91
639,1972,Games,Paul Lindblad,Texas,66
640,1972,Saves,Sparky Lyle,New York,35
641,1972,Shutouts,Nolan Ryan,California,9
642,1972,Strikeouts,Nolan Ryan,California,329
643,1972,Winning Percentage,Catfish Hunter,Oakland,.750
644,1972,Wins,Gaylord Perry,Cleveland,24
645,1972,Wins,Wilbur Wood,Chicago,24
646,1974,Complete Games,Fergie Jenkins,Texas,29
647,1974,ERA,Catfish Hunter,Oakland,2.49
648,1974,Games,Rollie Fingers,Oakland,76
649,1974,Saves,Terry Forster,Chicago,24
650,1974,Shutouts,Luis Tiant,Boston,7
651,1974,Strikeouts,Nolan Ryan,California,367
652,1974,Winning Percentage,Mike Cuellar,Baltimore,.688
653,1974,Wins,Catfish Hunter,Oakland,25
654,1974,Wins,Fergie Jenkins,Texas,25
655,1975,Complete Games,Catfish Hunter,New York,30
656,1975,ERA,Jim Palmer,Baltimore,2.09
657,1975,Games,Rollie Fingers,Oakland,75
658,1975,Saves,Rich Gossage,Chicago,26
659,1975,Shutouts,Jim Palmer,Baltimore,10
660,1975,Strikeouts,Frank Tanana,California,269
661,1975,Winning Percentage,Mike Torrez,Baltimore,.690
662,1975,Wins,Catfish Hunter,New York,23
663,1975,Wins,Jim Palmer,Baltimore,23
664,1976,Complete Games,Mark Fidrych,Detroit,24
665,1976,ERA,Mark Fidrych,Detroit,2.34
666,1976,Games,Bill Campbell,Minnesota,78
667,1976,Saves,Sparky Lyle,New York,23
668,1976,Shutouts,Nolan Ryan,California,7
669,1976,Strikeouts,Nolan Ryan,California,327
670,1976,Winning Percentage,Bill Campbell,Minnesota,.773
671,1976,Wins,Jim Palmer,Baltimore,22
672,1977,Complete Games,Jim Palmer,Baltimore,22
673,1977,Complete Games,Nolan Ryan,California,22
674,1977,ERA,Frank Tanana,California,2.54
675,1977,Games,Sparky Lyle,New York,72
676,1977,Saves,Bill Campbell,Boston,31
677,1977,Shutouts,Frank Tanana,California,7
678,1977,Strikeouts,Nolan Ryan,California,341
679,1977,Winning Percentage,Paul Splittorff,Kansas City,.727
680,1977,Wins,Dave Goltz,Minnesota,20
681,1977,Wins,Dennis Leonard,Kansas City,20
682,1977,Wins,Jim Palmer,Baltimore,20
683,1978,Complete Games,Mike Caldwell,Milwaukee,23
684,1978,ERA,Ron Guidry,New York,1.74
685,1978,Games,Bob Lacey,Oakland,74
686,1978,Saves,Rich Gossage,New York,27
687,1978,Shutouts,Ron Guidry,New York,9
688,1978,Strikeouts,Nolan Ryan,California,260
689,1978,Winning Percentage,Ron Guidry,New York,.893
690,1978,Wins,Ron Guidry,New York,25
